student_id,name,department,semester,attendance_pct,internal_marks,cp_ncp,previous_backlogs,risk_category
STU0043,Ekiya Suresh,AI&DS,6,69,36,NCP,1,High Risk
STU0044,Isaac Patil,AI&DS,2,86,45,NCP,1,Moderate Risk
STU0045,Wriddhish Bhardwaj,ECE,3,85,50,NCP,0,Moderate Risk
STU0046,Farhan Chada,CSE,5,75,43,NCP,0,Moderate Risk
STU0047,Ekapad Walia,EEE,2,80,42,NCP,0,Moderate Risk
STU0048,Kabir Soman,EEE,4,84,54,NCP,1,Moderate Risk
STU0049,Alka Wable,CSE,1,74,41,NCP,0,Moderate Risk
STU0050,Siddharth Zacharia,EEE,7,81,42,NCP,1,Moderate Risk
STU0051,Devika Rastogi,AI&DS,8,81,46,NCP,0,Moderate Risk
STU0052,Raksha Varughese,AI&DS,2,81,54,NCP,0,Moderate Risk
STU0053,Jai Kota,CSE,7,80,40,NCP,1,Moderate Risk
STU0054,Devansh Nigam,EEE,4,73,48,NCP,1,Moderate Risk
STU0055,Victor Kannan,CSE,1,83,51,NCP,0,Moderate Risk
STU0056,Ekavir Bhargava,EEE,2,76,46,NCP,0,Moderate Risk
STU0057,Ekansh Balay,CSE,1,85,56,NCP,0,Moderate Risk
STU0058,Ekavir Varkey,AI&DS,1,76,46,NCP,0,Moderate Risk
STU0059,Arya Sunder,MECH,1,74,47,NCP,0,Moderate Risk
STU0060,Kevin Solanki,CSE,7,71,36,NCP,1,High Risk
STU0061,Urvashi Ray,MECH,8,79,48,NCP,2,Moderate Risk
STU0062,Girindra Chatterjee,ECE,7,67,39,NCP,1,High Risk
STU0063,Irya Sampath,ECE,2,82,42,NCP,0,Moderate Risk
STU0064,Unni Bhagat,MECH,2,83,46,NCP,0,Moderate Risk
STU0065,Darsh Rau,ECE,2,80,44,NCP,2,Moderate Risk
STU0066,Ikbal Kothari,EEE,5,73,46,NCP,0,Moderate Risk
STU0067,Ranveer Yadav,CSE,1,86,46,NCP,0,Moderate Risk
STU0068,Logan Sami,EEE,1,79,43,NCP,0,Moderate Risk
STU0069,Arya Shere,EEE,3,85,43,NCP,0,Moderate Risk
STU0070,Faqid Savant,ECE,2,81,40,NCP,0,Moderate Risk
STU0071,Chandresh Zachariah,AI&DS,5,83,50,NCP,0,Moderate Risk
STU0072,Girik Khalsa,MECH,1,80,43,NCP,0,Moderate Risk
STU0073,Niharika Sunder,EEE,5,68,42,NCP,1,Moderate Risk
STU0074,Tanay Rattan,EEE,4,72,44,NCP,0,Moderate Risk
STU0075,Nitesh Raghavan,ECE,5,72,39,NCP,1,High Risk
STU0076,Madhavi Lanka,AI&DS,5,73,40,NCP,0,Moderate Risk
STU0077,Bhavika Sampath,AI&DS,4,85,54,NCP,0,Moderate Risk
STU0078,Mohammed Gupta,CSE,2,81,50,NCP,0,Moderate Risk
STU0079,Teerth Bhardwaj,ECE,5,71,34,NCP,1,High Risk
STU0080,Dipta Bhandari,CSE,3,85,51,NCP,0,Moderate Risk
STU0081,Vansha Thakkar,MECH,4,73,43,NCP,1,Moderate Risk
STU0082,Dakshesh Trivedi,CSE,6,72,45,NCP,0,Moderate Risk
STU0083,Quincy Biswas,MECH,1,73,46,NCP,0,Moderate Risk
STU0084,Wahab Raval,MECH,1,77,44,NCP,0,Moderate Risk
STU0085,Yatin Baral,AI&DS,5,83,52,NCP,0,Moderate Risk
STU0086,Oni Virk,AI&DS,3,85,50,NCP,0,Moderate Risk
STU0087,Advika Jayaraman,MECH,3,82,51,NCP,0,Moderate Risk
STU0088,William Lanka,AI&DS,4,74,43,NCP,0,Moderate Risk
STU0089,Karan Mital,ECE,2,75,44,NCP,1,Moderate Risk
STU0090,Diya Bora,ECE,1,76,44,NCP,0,Moderate Risk
STU0091,Tara Chaudhry,MECH,1,83,45,NCP,0,Moderate Risk
STU0092,Tanay Toor,AI&DS,8,68,43,NCP,1,Moderate Risk
STU0093,Kevin Palla,EEE,6,80,50,NCP,0,Moderate Risk
STU0094,Yash Pingle,AI&DS,6,82,46,NCP,1,Moderate Risk
STU0095,Nakul Sarma,MECH,6,80,48,NCP,0,Moderate Risk
STU0096,Abhiram Mistry,AI&DS,1,77,47,NCP,0,Moderate Risk
STU0097,Krish Lalla,CSE,1,77,51,NCP,0,Moderate Risk
STU0098,Hredhaan Dugal,ECE,1,76,40,NCP,0,Moderate Risk
STU0099,Baghyawati Kade,EEE,3,83,45,NCP,0,Moderate Risk
STU0100,Samar Lalla,MECH,2,71,33,NCP,0,High Risk
STU0101,Zayan Behl,EEE,2,70,47,NCP,2,Moderate Risk
STU0102,Pallavi Malhotra,CSE,5,72,40,NCP,1,Moderate Risk
STU0103,Aarush Nath,EEE,6,69,39,NCP,0,High Risk
STU0104,Adweta Edwin,CSE,6,71,37,NCP,0,High Risk
STU0105,Prisha Andra,EEE,4,84,46,NCP,0,Moderate Risk
STU0106,Faqid Dixit,ECE,1,81,48,NCP,0,Moderate Risk
STU0107,Kala Divan,CSE,5,73,43,NCP,0,Moderate Risk
STU0108,Joshua Barman,AI&DS,6,74,40,NCP,1,Moderate Risk
STU0109,Janya Baral,MECH,7,69,43,NCP,0,Moderate Risk
STU0110,Shivansh Krish,MECH,5,74,42,NCP,0,Moderate Risk
STU0111,Irya Ray,EEE,5,81,48,NCP,0,Moderate Risk
STU0112,Warjas Gaba,AI&DS,2,84,54,NCP,0,Moderate Risk
STU0113,Nitara Bakshi,MECH,2,77,45,NCP,0,Moderate Risk
STU0114,Gaurangi Sabharwal,CSE,4,76,45,NCP,0,Moderate Risk
STU0115,Amara Dutta,EEE,3,83,50,NCP,0,Moderate Risk
STU0116,Lavanya Barad,CSE,4,74,40,NCP,0,Moderate Risk
STU0117,Tristan Iyengar,AI&DS,6,79,46,NCP,0,Moderate Risk
STU0118,Inaya Mody,CSE,1,74,47,NCP,0,Moderate Risk
STU0119,Udant Bajwa,EEE,5,72,40,NCP,0,Moderate Risk
STU0120,Mohini Narasimhan,AI&DS,3,82,45,NCP,2,Moderate Risk
STU0121,Ekaraj Mallick,CSE,6,83,49,NCP,1,Moderate Risk
STU0122,Yashodhara Ratta,AI&DS,8,76,40,NCP,2,Moderate Risk
STU0123,Ayaan D’Alia,ECE,2,81,41,NCP,2,Moderate Risk
STU0124,Pranav Lanka,ECE,5,79,37,NCP,1,High Risk
STU0125,Ikbal Saraf,EEE,2,70,46,NCP,0,Moderate Risk
STU0126,Dipta Sarin,CSE,3,72,45,NCP,2,Moderate Risk
STU0127,Lekha Gupta,EEE,1,73,43,NCP,0,Moderate Risk
STU0128,Chaitanya Sarin,MECH,5,80,39,NCP,0,High Risk
STU0129,Zinal Yohannan,MECH,7,72,39,NCP,0,High Risk
STU0130,Januja Sankar,AI&DS,5,78,47,NCP,0,Moderate Risk
STU0131,Ganga Murthy,ECE,5,71,32,NCP,1,High Risk
STU0132,Charita Tripathi,MECH,3,79,42,NCP,1,Moderate Risk
STU0133,Nilima Narain,MECH,1,73,38,NCP,0,High Risk
STU0134,Chakrika Datta,AI&DS,5,83,46,NCP,0,Moderate Risk
STU0135,Osha Raghavan,ECE,7,80,37,NCP,1,High Risk
STU0136,Charvi Ravi,AI&DS,8,75,42,NCP,1,Moderate Risk
STU0137,Daksha Mangat,AI&DS,4,72,36,NCP,0,High Risk
STU0138,Qushi Nagy,EEE,5,67,32,NCP,0,High Risk
STU0139,Riya Sathe,AI&DS,4,71,46,NCP,0,Moderate Risk
STU0140,Yasti Solanki,AI&DS,1,83,49,NCP,0,Moderate Risk
STU0141,Frado Mander,MECH,8,70,38,NCP,0,High Risk
STU0142,Girik Keer,MECH,8,75,38,NCP,2,High Risk
STU0143,Umang Issac,MECH,5,72,44,NCP,0,Moderate Risk
STU0144,Aryan Batra,AI&DS,1,72,39,NCP,0,High Risk
STU0145,Vaishnavi Bora,CSE,8,74,42,NCP,0,Moderate Risk
STU0146,Oeshi Hayer,AI&DS,4,71,42,NCP,0,Moderate Risk
STU0147,Warda Ratta,MECH,5,79,38,NCP,0,High Risk
STU0148,Manbir Ahluwalia,EEE,3,80,41,NCP,0,Moderate Risk
STU0149,Pavani Kanda,AI&DS,6,79,42,NCP,1,Moderate Risk
STU0150,Zarna Shetty,CSE,4,72,47,NCP,0,Moderate Risk
STU0151,Zaid Dara,EEE,4,73,47,NCP,0,Moderate Risk
STU0152,Kiaan Shetty,ECE,4,72,37,NCP,0,High Risk
STU0153,Saanvi Thaman,ECE,7,71,42,NCP,0,Moderate Risk
STU0154,Sanaya Dutt,AI&DS,2,71,45,NCP,0,Moderate Risk
STU0155,Shivani Lad,AI&DS,8,76,38,NCP,0,High Risk
STU0156,Aradhana Verma,EEE,3,81,45,NCP,0,Moderate Risk
STU0157,William Maharaj,ECE,8,71,37,NCP,0,High Risk
STU0158,Faras Mangal,MECH,1,81,49,NCP,0,Moderate Risk
STU0159,Anita Nayak,MECH,3,80,50,NCP,0,Moderate Risk
STU0160,Faris Devi,MECH,8,69,43,NCP,2,Moderate Risk
STU0161,Vihaan Rajagopal,CSE,4,78,49,NCP,0,Moderate Risk
STU0162,Tanish Bhatt,ECE,1,82,44,NCP,0,Moderate Risk
STU0163,Nikita Narayanan,AI&DS,5,78,49,NCP,0,Moderate Risk
STU0164,Ojasvi Bhatia,AI&DS,3,76,48,NCP,0,Moderate Risk
STU0165,Osha Ramachandran,AI&DS,1,72,45,NCP,0,Moderate Risk
STU0166,Lajita Sood,EEE,8,78,41,NCP,1,Moderate Risk
STU0167,Indira Misra,MECH,2,74,35,NCP,0,High Risk
STU0168,Oni Yohannan,CSE,2,76,40,NCP,0,Moderate Risk
STU0169,Vinaya Kanda,AI&DS,5,71,35,NCP,0,High Risk
STU0170,Rajata Sunder,MECH,5,71,43,NCP,1,Moderate Risk
STU0171,Lopa Nayar,EEE,5,81,43,NCP,2,Moderate Risk
STU0172,Noah Sibal,EEE,8,71,45,NCP,0,Moderate Risk
STU0173,Avi Ramesh,MECH,7,70,35,NCP,0,High Risk
STU0174,Fiyaz Sangha,ECE,3,75,40,NCP,0,Moderate Risk
STU0175,Triya Gopal,CSE,8,79,41,NCP,0,Moderate Risk
STU0176,Abha Raghavan,CSE,7,80,50,NCP,0,Moderate Risk
STU0177,Siddharth Sha,ECE,5,73,41,NCP,0,Moderate Risk
STU0178,Geetika Raghavan,ECE,5,81,46,NCP,0,Moderate Risk
STU0179,Oviya Krishnan,MECH,1,75,37,NCP,0,High Risk
STU0180,Upma Bahl,EEE,3,76,39,NCP,0,High Risk
STU0181,Inaya Kapur,EEE,4,84,53,NCP,0,Moderate Risk
STU0182,Banjeet Balasubramanian,MECH,8,72,43,NCP,0,Moderate Risk
STU0183,Ryan Bahri,MECH,8,69,43,NCP,0,Moderate Risk
STU0184,William Date,MECH,8,80,41,NCP,0,Moderate Risk
STU0185,Ishwar Kamdar,CSE,2,72,41,NCP,0,Moderate Risk
STU0186,Aahana Pillay,EEE,4,82,53,NCP,0,Moderate Risk
STU0187,Ishwar Gade,ECE,4,79,52,NCP,0,Moderate Risk
STU0188,Hritik Bal,AI&DS,2,72,47,NCP,0,Moderate Risk
STU0189,Keya Ranganathan,EEE,5,68,30,NCP,2,High Risk
STU0190,Faqid Kibe,ECE,7,69,36,NCP,0,High Risk
STU0191,Charvi Dara,AI&DS,3,82,44,NCP,0,Moderate Risk
STU0192,Idika Walia,CSE,7,78,50,NCP,0,Moderate Risk
STU0193,Kamala Biswas,EEE,2,76,40,NCP,0,Moderate Risk
STU0194,Advik Salvi,EEE,4,85,47,NCP,0,Moderate Risk
STU0195,Hitesh Sant,ECE,8,82,49,NCP,1,Moderate Risk
STU0196,Tripti Dua,CSE,1,76,52,NCP,0,Moderate Risk
STU0197,Patrick Vig,AI&DS,2,84,50,NCP,0,Moderate Risk
STU0198,Veda Shroff,ECE,3,72,47,NCP,1,Moderate Risk
STU0199,Amrita Naidu,ECE,4,82,42,NCP,0,Moderate Risk
STU0200,Gabriel Mallick,ECE,1,82,43,NCP,0,Moderate Risk
STU0201,Yagnesh Shetty,EEE,1,73,37,NCP,0,High Risk
STU0202,Gayathri Balakrishnan,MECH,4,81,45,NCP,0,Moderate Risk
STU0203,Ekta Gopal,AI&DS,5,75,38,NCP,0,High Risk
STU0204,Simon Pant,AI&DS,2,81,41,NCP,0,Moderate Risk
STU0205,Harini Mammen,MECH,3,71,43,NCP,0,Moderate Risk
STU0206,Advaith Varughese,CSE,3,73,38,NCP,0,High Risk
STU0207,Frederick Khurana,AI&DS,4,76,52,NCP,0,Moderate Risk
STU0208,Vrinda Khosla,MECH,4,76,47,NCP,1,Moderate Risk
STU0209,Vritti Sem,AI&DS,6,71,39,NCP,1,High Risk
STU0210,Girik Menon,MECH,6,72,35,NCP,1,High Risk
STU0211,Nidhi Kohli,MECH,1,83,41,NCP,0,Moderate Risk
STU0212,Jyoti Solanki,CSE,6,74,36,NCP,1,High Risk
STU0213,Pavani Narayanan,CSE,3,84,56,NCP,0,Moderate Risk
STU0214,Sudiksha Madan,CSE,8,78,42,NCP,0,Moderate Risk
STU0215,Zayan Kashyap,ECE,1,77,49,NCP,0,Moderate Risk
STU0216,Reyansh Mutti,EEE,7,72,42,NCP,0,Moderate Risk
STU0217,Qasim Handa,MECH,7,83,49,NCP,0,Moderate Risk
STU0218,Veda Malhotra,AI&DS,1,85,55,NCP,0,Moderate Risk
STU0219,Harish Hari,EEE,1,73,46,NCP,0,Moderate Risk
STU0220,Utkarsh Patel,EEE,3,72,36,NCP,0,High Risk
STU0221,Chasmum Atwal,CSE,1,81,41,NCP,0,Moderate Risk
STU0222,Anusha Bath,AI&DS,2,77,43,NCP,0,Moderate Risk
STU0223,Brinda Date,EEE,6,76,35,NCP,2,High Risk
STU0224,Harshil Arora,CSE,2,81,48,NCP,0,Moderate Risk
STU0225,Upasna Srinivas,EEE,2,77,42,NCP,1,Moderate Risk
STU0226,Harini Gour,AI&DS,5,69,37,NCP,0,High Risk
STU0227,Zayyan Sridhar,CSE,2,86,55,NCP,0,Moderate Risk
STU0228,Dhruv Rattan,EEE,3,69,43,NCP,1,Moderate Risk
STU0229,Ethan Bera,AI&DS,4,81,46,NCP,0,Moderate Risk
STU0230,Manthan Modi,CSE,3,78,40,NCP,0,Moderate Risk
STU0231,Yuvraj Dani,MECH,4,81,45,NCP,2,Moderate Risk
STU0232,Upkaar Virk,AI&DS,4,82,47,NCP,0,Moderate Risk
STU0233,Shravya Savant,CSE,2,80,48,NCP,0,Moderate Risk
STU0234,Pushti Mody,EEE,6,70,42,NCP,1,Moderate Risk
STU0235,Hardik Johal,ECE,7,73,43,NCP,0,Moderate Risk
STU0236,Aishani Bumb,ECE,2,72,37,NCP,0,High Risk
STU0237,Wriddhish Ghose,CSE,2,83,49,NCP,0,Moderate Risk
STU0238,Naksh Agate,AI&DS,3,85,51,NCP,0,Moderate Risk
STU0239,Shravya Singhal,AI&DS,3,86,48,NCP,0,Moderate Risk
STU0240,Bachittar Kata,MECH,3,74,38,NCP,1,High Risk
STU0241,Barkha Setty,MECH,1,75,39,NCP,0,High Risk
STU0242,Vivaan Lalla,CSE,5,76,42,NCP,0,Moderate Risk
STU0243,Pavani Contractor,CSE,3,83,51,NCP,0,Moderate Risk
STU0244,Manthan Lata,MECH,4,85,47,NCP,0,Moderate Risk
STU0245,Ekbal Bhasin,EEE,8,68,38,NCP,1,High Risk
STU0246,Damyanti Mani,AI&DS,4,73,42,NCP,1,Moderate Risk
STU0247,Jeet Sidhu,AI&DS,1,81,46,NCP,0,Moderate Risk
STU0248,Neha Magar,EEE,1,80,43,NCP,0,Moderate Risk
STU0249,Raksha Buch,AI&DS,7,73,42,NCP,1,Moderate Risk
STU0250,Rachana Naidu,MECH,1,81,40,NCP,0,Moderate Risk
STU0251,Atharv Chand,AI&DS,3,83,54,NCP,0,Moderate Risk
STU0252,Ansh Luthra,AI&DS,1,81,48,NCP,0,Moderate Risk
STU0253,Parth Singhal,CSE,3,73,39,NCP,0,High Risk
STU0254,Arunima Golla,MECH,2,85,43,NCP,1,Moderate Risk
STU0255,Vyanjana Chand,AI&DS,7,82,40,NCP,1,Moderate Risk
STU0256,Ijaya Rege,MECH,1,72,43,NCP,0,Moderate Risk
STU0257,Ekani Cheema,AI&DS,6,71,39,NCP,0,High Risk
STU0258,Forum Sabharwal,ECE,8,77,45,NCP,0,Moderate Risk
STU0259,Bhavya Rattan,ECE,4,74,47,NCP,0,Moderate Risk
STU0260,Suhani Chakrabarti,ECE,3,85,56,NCP,0,Moderate Risk
STU0261,Zayyan Naik,EEE,6,75,39,NCP,2,High Risk
STU0262,Netra Varkey,EEE,1,77,42,NCP,0,Moderate Risk
STU0263,Turvi Sachdev,CSE,6,76,37,NCP,2,High Risk
STU0264,Raghav Vasa,AI&DS,1,77,52,NCP,0,Moderate Risk
STU0265,Wishi Sathe,ECE,6,81,50,NCP,0,Moderate Risk
STU0266,Samar Loke,MECH,4,73,48,NCP,0,Moderate Risk
STU0267,Bhavna Sarma,CSE,3,72,46,NCP,0,Moderate Risk
STU0268,Jairaj Balakrishnan,ECE,1,74,47,NCP,0,Moderate Risk
STU0269,Nathan Mukhopadhyay,ECE,6,75,42,NCP,0,Moderate Risk
STU0270,Nikita Chander,CSE,2,84,50,NCP,0,Moderate Risk
STU0271,Ishaan Shenoy,AI&DS,3,83,45,NCP,1,Moderate Risk
STU0272,Mitesh Tara,AI&DS,4,72,48,NCP,0,Moderate Risk
STU0273,Yashodhara Mahajan,CSE,5,77,46,NCP,2,Moderate Risk
STU0274,Vasudha Sodhi,AI&DS,3,81,42,NCP,0,Moderate Risk
STU0275,Tanmayi Dhillon,CSE,8,77,47,NCP,0,Moderate Risk
STU0276,Rayaan Trivedi,CSE,3,78,48,NCP,0,Moderate Risk
STU0277,Ekaraj Majumdar,EEE,6,72,33,NCP,1,High Risk
STU0278,Harini Tripathi,AI&DS,6,73,34,NCP,0,High Risk
STU0279,Aarnav Mandal,ECE,7,78,49,NCP,0,Moderate Risk
STU0280,Vrishti Dixit,ECE,6,68,40,NCP,3,High Risk
STU0281,Veda Pai,ECE,7,72,36,NCP,0,High Risk
STU0282,Krishna Shah,AI&DS,4,71,44,NCP,2,Moderate Risk
STU0283,Ranbir Khare,EEE,2,82,46,NCP,0,Moderate Risk
STU0284,Vivaan Roy,MECH,7,73,45,NCP,0,Moderate Risk
STU0285,Eesha Solanki,MECH,3,82,43,NCP,1,Moderate Risk
STU0286,Libni Doshi,ECE,4,75,37,NCP,0,High Risk
STU0287,Balhaar Date,EEE,3,80,41,NCP,0,Moderate Risk
STU0288,Harish Sarraf,MECH,1,83,45,NCP,0,Moderate Risk
STU0289,Tanmayi Aurora,MECH,2,85,54,NCP,0,Moderate Risk
STU0290,Nimrat Dubey,MECH,3,82,49,NCP,0,Moderate Risk
STU0291,Upasna Lanka,ECE,7,78,41,NCP,1,Moderate Risk
STU0292,Mitali Buch,EEE,3,78,46,NCP,0,Moderate Risk
STU0293,Lajita Nadig,EEE,3,81,48,NCP,0,Moderate Risk
STU0294,Balendra Biswas,MECH,3,74,48,NCP,1,Moderate Risk
STU0295,Bhavna Karan,AI&DS,1,83,52,NCP,0,Moderate Risk
STU0296,Radha Chaudhari,ECE,8,72,45,NCP,0,Moderate Risk
STU0297,Sachi Ganesan,CSE,1,72,38,NCP,0,High Risk
STU0298,Ayush Batra,MECH,8,80,49,NCP,0,Moderate Risk
STU0299,Daksh Memon,EEE,5,75,38,NCP,2,High Risk
STU0300,Kavya Sankar,ECE,6,75,35,NCP,2,High Risk
STU0301,Yash Wali,CSE,3,80,47,NCP,0,Moderate Risk
STU0302,Pranit Garde,ECE,5,68,34,NCP,0,High Risk
STU0303,Farhan Raja,MECH,4,82,51,NCP,0,Moderate Risk
STU0304,Widisha Dhar,EEE,5,74,42,NCP,0,Moderate Risk
STU0305,Triya Kumar,AI&DS,5,71,46,NCP,0,Moderate Risk
STU0306,Aadhya Andra,CSE,7,76,40,NCP,1,Moderate Risk
STU0307,Bhavna Dugar,AI&DS,7,82,43,NCP,0,Moderate Risk
STU0308,Riya Pai,AI&DS,2,81,50,NCP,0,Moderate Risk
STU0309,Panini Krishna,ECE,5,76,36,NCP,0,High Risk
STU0310,Chasmum Issac,AI&DS,3,85,44,NCP,0,Moderate Risk
STU0311,Vasudha Chhabra,CSE,1,81,49,NCP,0,Moderate Risk
STU0312,Lakshmi Parmer,ECE,6,74,42,NCP,0,Moderate Risk
STU0313,Chakrika Bains,AI&DS,2,86,51,NCP,0,Moderate Risk
STU0314,Anvi Anand,MECH,2,71,34,NCP,0,High Risk
STU0315,Watika Mangat,MECH,4,75,37,NCP,0,High Risk
STU0316,Indira Kanda,EEE,6,80,50,NCP,1,Moderate Risk
STU0317,Zashil Devan,EEE,2,71,40,NCP,2,Moderate Risk
STU0318,Balveer More,AI&DS,3,86,57,NCP,0,Moderate Risk
STU0319,Bahadurjit Patla,AI&DS,6,71,35,NCP,0,High Risk
STU0320,Gautam Merchant,MECH,4,74,35,NCP,0,High Risk
STU0321,Ojasvi Gill,AI&DS,4,74,45,NCP,1,Moderate Risk
STU0322,Kevin Zacharia,MECH,2,70,34,NCP,1,High Risk
STU0323,Yachana Mahajan,MECH,3,76,44,NCP,2,Moderate Risk
STU0324,Aarini Subramaniam,AI&DS,3,79,51,NCP,0,Moderate Risk
STU0325,Hamsini Contractor,AI&DS,1,86,49,NCP,0,Moderate Risk
STU0326,Faqid Dhaliwal,EEE,4,75,38,NCP,0,High Risk
STU0327,Mekhala Pau,MECH,4,70,34,NCP,0,High Risk
STU0328,Megha Atwal,MECH,4,72,46,NCP,1,Moderate Risk
STU0329,Jatin Sha,MECH,8,79,39,NCP,1,High Risk
STU0330,Adweta Raj,AI&DS,2,84,48,NCP,0,Moderate Risk
STU0331,Hritik Kaur,MECH,4,82,49,NCP,0,Moderate Risk
STU0332,Aryan Narang,CSE,5,72,42,NCP,0,Moderate Risk
STU0333,Dev Shetty,AI&DS,4,82,50,NCP,0,Moderate Risk
STU0334,Nilima Dada,AI&DS,6,74,46,NCP,1,Moderate Risk
STU0335,Chakradev Barad,ECE,1,75,38,NCP,0,High Risk
STU0336,Waida D’Alia,ECE,3,82,53,NCP,0,Moderate Risk
STU0337,Wahab Yogi,CSE,5,76,43,NCP,0,Moderate Risk
STU0338,Lipika Setty,MECH,4,75,38,NCP,0,High Risk
STU0339,Oni Dubey,EEE,4,80,51,NCP,0,Moderate Risk
STU0340,Hardik Suri,EEE,5,70,34,NCP,0,High Risk
STU0341,Ati Bali,ECE,8,83,49,NCP,0,Moderate Risk
STU0342,Teerth Sawhney,MECH,3,75,48,NCP,0,Moderate Risk
STU0343,Warinder Patil,EEE,2,78,45,NCP,0,Moderate Risk
STU0344,Jhalak Parmer,MECH,6,82,48,NCP,1,Moderate Risk
STU0345,Mitali Majumdar,EEE,8,77,45,NCP,1,Moderate Risk
STU0346,Jason Sha,AI&DS,5,70,41,NCP,0,Moderate Risk
STU0347,Simon Bail,ECE,1,84,44,NCP,0,Moderate Risk
STU0348,Gauri Kohli,ECE,1,76,47,NCP,0,Moderate Risk
STU0349,Samesh Biswas,CSE,5,70,46,NCP,0,Moderate Risk
STU0350,Tarak Kaul,ECE,3,84,54,NCP,0,Moderate Risk
STU0351,Manbir Agate,ECE,6,72,36,NCP,1,High Risk
STU0352,Maanav De,ECE,4,81,53,NCP,0,Moderate Risk
STU0353,Owen Choudhary,ECE,3,83,54,NCP,1,Moderate Risk
STU0354,Karan Aurora,ECE,8,82,51,NCP,0,Moderate Risk
STU0355,Wazir Naik,CSE,2,80,53,NCP,0,Moderate Risk
STU0356,Owen Lanka,MECH,8,76,40,NCP,0,Moderate Risk
STU0357,Jonathan Sama,AI&DS,4,74,38,NCP,1,High Risk
STU0358,Devansh Soni,ECE,1,75,40,NCP,0,Moderate Risk
STU0359,Janaki Varghese,ECE,2,83,53,NCP,0,Moderate Risk
STU0360,Siya Thakur,AI&DS,3,77,40,NCP,0,Moderate Risk
STU0361,Caleb Verma,MECH,3,73,38,NCP,1,High Risk
STU0362,Tara Balasubramanian,EEE,4,78,41,NCP,0,Moderate Risk
STU0363,Varenya Ratti,ECE,1,71,38,NCP,0,High Risk
STU0364,Hritik Swaminathan,MECH,5,82,49,NCP,0,Moderate Risk
STU0365,Ethan Buch,CSE,5,83,45,NCP,1,Moderate Risk
STU0366,Manbir Bhatti,MECH,6,77,40,NCP,0,Moderate Risk
STU0367,Anvi Nair,MECH,6,80,47,NCP,0,Moderate Risk
